Board,Pupil Foundation Grant,Language Grant,Special Education Grant,Geographic Circumstances Grant,All Other Grants,Total,Average
Halton Catholic DSB,5654.60,270.51,1393.65,1.84,3858.00,11178.59,12701.00
Halton DSB,5635.70,382.36,1438.55,0.23,3929.05,11385.89,12701.00
Durham DSB,5649.91,231.87,1512.01,0.67,4070.52,11464.99,12701.00
Waterloo Region DSB,5660.49,345.18,1437.59,0.95,4077.72,11521.93,12701.00
Waterloo Catholic DSB,5661.04,344.43,1463.45,3.78,4261.20,11733.90,12701.00
Simcoe County DSB,5661.72,179.31,1494.25,10.79,4399.63,11745.69,12701.00
Durham Catholic DSB,5654.76,252.90,1579.51,12.58,4290.87,11790.62,12701.00
York Region DSB,5634.96,401.44,1438.49,0.33,4336.07,11811.30,12701.00
York Catholic DSB,5635.48,293.38,1404.01,2.14,4587.40,11922.40,12701.00
Peel DSB,5645.98,515.71,1464.04,0.07,4344.42,11970.22,12701.00
Hamilton-Wentworth Cath DSB,5674.78,283.84,1489.48,3.31,4551.37,12002.79,12701.00
Simcoe Muskoka Catholic DSB,5655.04,175.73,1579.30,70.14,4522.60,12002.81,12701.00
Hamilton-Wentworth DSB,5655.44,332.99,1536.79,0.82,4537.59,12063.63,12701.00
Thames Valley DSB,5652.13,310.76,1489.32,8.99,4603.10,12064.31,12701.00
Dufferin-Peel Catholic DSB,5669.66,365.82,1370.26,1.33,4674.68,12081.75,12701.00
DSB of Niagara,5661.92,227.13,1542.08,2.92,4662.92,12096.97,12701.00
Upper Grand DSB,5667.65,232.32,1587.95,16.60,4655.06,12159.57,12701.00
Greater Essex County DSB,5645.15,375.49,1508.85,9.76,4630.51,12169.75,12701.00
Grand Erie DSB,5656.14,172.34,1529.89,25.56,4830.31,12214.25,12701.00
Niagara Catholic DSB,5651.45,238.21,1487.88,7.99,4848.03,12233.56,12701.00
London Dist. Catholic School,5674.65,326.59,1461.83,28.59,4771.00,12262.67,12701.00
Kawartha Pine Ridge DSB,5666.76,183.49,1722.93,23.36,4680.17,12276.71,12701.00
Brant Haldimand Norfolk CDSB,5679.77,180.60,1681.70,139.37,4627.61,12309.05,12701.00
Windsor-Essex Catholic DSB,5664.42,367.13,1421.90,6.47,4924.73,12384.65,12701.00
Ottawa-Carleton DSB,5656.83,512.39,1416.01,2.69,4839.42,12427.34,12701.00
Ottawa Catholic DSB,5640.25,470.92,1561.85,3.98,4829.10,12506.10,12701.00
PVNC Catholic DSB,5645.88,192.30,1723.68,69.60,5000.29,12631.75,12701.00
Lambton Kent DSB,5665.73,184.96,1560.91,40.31,5246.78,12698.70,12701.00
Toronto DSB,5664.24,519.73,1449.00,0.00,5177.71,12810.67,12701.00
Wellington Catholic DSB,5649.45,307.82,1658.36,193.60,5008.54,12817.76,12701.00
Bluewater DSB,5652.55,187.87,1609.15,131.01,5267.87,12848.46,12701.00
Toronto Catholic DSB,5651.51,541.41,1451.46,0.00,5262.57,12906.94,12701.00
St. Clair Catholic DSB,5645.77,200.32,1704.12,232.17,5238.17,13020.55,12701.00
Trillium Lakelands DSB,5667.74,148.90,1670.75,221.78,5332.35,13041.52,12701.00
Limestone DSB,5666.49,238.55,1609.61,160.49,5605.51,13280.65,12701.00
Avon Maitland DSB,5673.70,168.37,1576.15,95.63,5780.05,13293.90,12701.00
Algonquin & Lakeshore Cath DSB,5662.66,211.49,1730.58,326.36,5547.22,13478.31,12701.00
Hastings & Prince Edward DSB,5652.16,153.10,1741.13,131.69,5866.92,13544.99,12701.00
Bruce-Grey Catholic DSB,5695.03,206.94,1927.99,388.98,5677.78,13896.72,12701.00
Upper Canada DSB,5662.63,253.62,1741.26,107.01,6228.86,13993.37,12701.00
Huron-Perth Catholic DSB,5649.20,179.90,1859.87,395.03,6155.26,14239.25,12701.00
Cath DSB of Eastern Ontario,5649.85,249.20,1861.29,207.42,6309.66,14277.42,12701.00
Lakehead DSB,5669.40,204.85,2150.45,667.21,5776.99,14468.91,12701.00
CSD cath. Centre-Est de l'Ont.,5651.99,1871.25,1650.29,293.40,5159.45,14626.38,12701.00
Sudbury Catholic DSB,5656.50,353.16,2048.84,366.51,6267.97,14692.99,12701.00
Renfrew County DSB,5672.79,207.27,1903.67,381.53,6586.96,14752.23,12701.00
Rainbow DSB,5659.37,239.42,2518.88,328.04,6328.53,15074.24,12701.00
Thunder Bay Catholic DSB,5640.57,196.11,2545.87,557.76,6336.84,15277.15,12701.00
Renfrew County Catholic DSB,5647.94,137.87,2073.59,601.84,6899.19,15360.42,12701.00
Near North DSB,5655.95,179.68,2129.65,757.90,6809.71,15532.90,12701.00
CEP de l'Est de l'Ontario,5657.36,1972.13,1749.16,469.34,5745.27,15593.26,12701.00
Algoma DSB,5676.13,194.95,2203.59,1196.80,6533.07,15804.54,12701.00
CSC Providence,5650.61,2068.93,1802.21,697.05,5922.73,16141.54,12701.00
CSD cath. de l'Est ontarien,5671.38,1795.79,2170.19,384.78,6391.56,16413.70,12701.00
CSC MonAvenir,5629.30,2126.33,1696.04,384.14,6748.01,16583.82,12701.00
Huron-Superior Catholic DSB,5606.75,270.40,2887.69,1370.29,6931.43,17066.55,12701.00
Conseil scolaire Viamonde,5664.87,2260.65,1746.98,827.75,6623.56,17123.81,12701.00
Nipissing-Parry Sound Cath DSB,5671.08,228.69,2705.76,691.10,8111.28,17407.92,12701.00
DSB Ontario North East,5662.11,192.51,2783.31,1685.61,8184.10,18507.64,12701.00
Northeastern Catholic DSB,5603.91,227.80,2495.45,1550.69,8788.09,18665.94,12701.00
CSD cath. du Nouvel-Ontario,5661.43,2142.63,2330.99,1714.81,7285.78,19135.65,12701.00
Keewatin-Patricia DSB,5676.88,118.76,2846.32,2287.06,8939.39,19868.42,12701.00
CSD cath. des Grandes Rivières,5670.33,2051.24,2529.34,1958.24,8124.07,20333.23,12701.00
Northwest Catholic DSB,5586.40,260.91,3218.49,2293.20,9181.20,20540.20,12701.00
Kenora Catholic DSB,5603.17,216.53,3226.73,1649.94,9928.59,20624.96,12701.00
CSD catholique Franco-Nord,5654.14,2070.53,3637.86,1194.42,9272.35,21829.31,12701.00
Rainy River DSB,5659.18,100.33,2671.46,2630.47,10894.35,21955.79,12701.00
CSP du Nord-Est de l'Ontario,5669.71,2531.90,3698.54,3196.97,9928.57,25025.70,12701.00
CSP du Grand Nord de l'Ontario,5681.11,2513.92,4593.09,2800.29,9771.10,25359.51,12701.00
Superior North Catholic DSB,5582.28,137.48,4480.50,3458.24,15793.87,29452.36,12701.00
Superior-Greenstone DSB,5676.84,96.38,3733.99,6055.90,14295.33,29858.44,12701.00
CSD cath. des Aurores boréales,5670.09,2942.41,4789.10,5583.74,12503.20,31488.55,12701.00