Board,Revenue for Infrastructure Projects,Provincial and Own Source Operating Revenue,Federal Transfers Revenue,Total,Average
Durham DSB,675.3948098,12051.49289,38.98074845,12765.86845,14501
Waterloo Region DSB,689.7466765,12188.12405,2.454235796,12880.32496,14501
Halton DSB,564.4481238,12346.0097,32.68053128,12943.13835,14501
Halton Catholic DSB,533.8840767,12523.76123,64.79056781,13122.43588,14501
Simcoe County DSB,697.2349366,12489.69723,23.94109622,13210.87326,14501
Upper Grand DSB,514.6306061,12671.07557,62.01416745,13247.72034,14501
Thames Valley DSB,595.0295851,12569.12816,96.55645425,13260.7142,14501
York Region DSB,592.6388115,12726.27847,6.050898026,13324.96818,14501
Peel DSB,633.1382156,12702.51304,32.38966913,13368.04092,14501
Greater Essex County DSB,704.4695111,12801.80396,11.62768639,13517.90116,14501
Simcoe Muskoka Catholic DSB,689.1232581,12902.91381,31.45835372,13623.49542,14501
London Dist. Catholic School,504.8789613,13164.02804,0,13668.90701,14501
York Catholic DSB,715.717922,12977.291,11.54377654,13704.5527,14501
Brant Haldimand Norfolk CDSB,556.7436324,13132.73013,90.08788052,13779.56165,14501
Hamilton-Wentworth Cath DSB,691.0202874,13012.25198,87.46314827,13790.73542,14501
Dufferin-Peel Catholic DSB,640.1548497,13137.5832,23.29450724,13801.03255,14501
Windsor-Essex Catholic DSB,812.7976363,13023.27694,5.747832426,13841.8224,14501
Grand Erie DSB,645.510674,12925.81844,302.1153961,13873.44451,14501
Kawartha Pine Ridge DSB,623.1556064,13231.1872,70.79494101,13925.13774,14501
DSB of Niagara,838.8572733,13072.77735,23.44475479,13935.07938,14501
Niagara Catholic DSB,692.8172369,13252.01575,43.15729108,13987.99028,14501
Ottawa Catholic DSB,615.7627023,13481.92565,23.36023685,14121.04859,14501
Bluewater DSB,723.3328316,13301.86679,128.9218433,14154.12146,14501
PVNC Catholic DSB,624.1037792,13541.00963,29.46825086,14194.58166,14501
Wellington Catholic DSB,679.4497599,13628.54676,8.5749567,14316.57147,14501
Trillium Lakelands DSB,579.0006352,13707.65383,59.08575663,14345.74022,14501
Ottawa-Carleton DSB,912.3502339,13429.91495,39.87177409,14382.13696,14501
Waterloo Catholic DSB,778.8920423,13648.52995,88.08799151,14515.50998,14501
Hamilton-Wentworth DSB,924.4569809,13622.31443,43.28886298,14590.06028,14501
Durham Catholic DSB,635.200267,13980.90848,33.52265605,14649.6314,14501
Toronto Catholic DSB,925.7941667,13762.6899,50.32049127,14738.80455,14501
Lambton Kent DSB,789.6015175,13878.05844,184.6210039,14852.28097,14501
Toronto DSB,991.4868398,13777.46485,102.5977808,14871.54947,14501
St. Clair Catholic DSB,831.2077052,14005.77084,87.29182722,14924.27037,14501
Hastings & Prince Edward DSB,630.4143073,14192.48947,141.2797926,14964.18357,14501
Limestone DSB,759.7465174,14313.70366,30.80538309,15104.25556,14501
Avon Maitland DSB,773.7503734,14343.06443,20.86214233,15137.67694,14501
Algonquin & Lakeshore Cath DSB,943.9509529,14247.89774,70.38787024,15262.23657,14501
Upper Canada DSB,667.5981557,14481.88186,137.7958326,15287.27585,14501
Cath DSB of Eastern Ontario,764.3963232,14915.34448,12.9609112,15692.70172,14501
Bruce-Grey Catholic DSB,689.5114662,14967.21991,143.5166398,15800.24802,14501
Huron-Perth Catholic DSB,890.6808703,15309.08165,1.820089169,16201.58261,14501
Renfrew County DSB,873.2074619,15427.82427,159.3963433,16460.42807,14501
CSD cath. Centre-Est de l'Ont.,865.803488,15874.88054,0,16740.68402,14501
Sudbury Catholic DSB,1139.134743,15690.81644,133.0697233,16963.02091,14501
Renfrew County Catholic DSB,887.3606779,16417.53053,33.94171744,17338.83293,14501
Thunder Bay Catholic DSB,813.1251171,16229.84523,360.4346812,17403.40503,14501
CSC Providence,636.9092329,16969.54137,33.41232253,17639.86293,14501
Rainbow DSB,1338.188988,16066.85044,410.6043153,17815.64374,14501
Lakehead DSB,1246.486124,16413.83971,306.3211314,17966.64697,14501
Near North DSB,1328.748043,16527.05008,280.9405112,18136.73863,14501
CSD cath. de l'Est ontarien,514.2726083,17799.20796,0,18313.48057,14501
CEP de l'Est de l'Ontario,977.6075203,17324.70596,26.04267243,18328.35615,14501
Conseil scolaire Viamonde,1189.059743,18078.42888,32.90405927,19300.39268,14501
Algoma DSB,2096.456982,16839.80337,678.1017486,19614.3621,14501
CSC MonAvenir,945.097105,18661.48387,162.3175636,19768.89854,14501
Nipissing-Parry Sound Cath DSB,1048.678984,18592.11235,463.4234128,20104.21475,14501
Northeastern Catholic DSB,1386.222162,19772.1943,154.4668136,21312.88327,14501
Huron-Superior Catholic DSB,1321.943218,19187.96862,812.5236549,21322.43549,14501
DSB Ontario North East,2043.934387,19293.17813,290.5815642,21627.69408,14501
CSD cath. du Nouvel-Ontario,1405.75749,20241.52245,138.9886541,21786.26859,14501
CSD cath. des Grandes Rivières,1485.613727,21023.42102,44.373331,22553.40808,14501
Northwest Catholic DSB,1390.47603,21948.77544,668.6063919,24007.85786,14501
Keewatin-Patricia DSB,1588.585179,22348.69175,1834.142954,25771.41988,14501
CSD catholique Franco-Nord,1891.59198,23844.31085,123.5877712,25859.4906,14501
Kenora Catholic DSB,1503.905316,23534.68487,1793.446106,26832.0363,14501
CSP du Grand Nord de l'Ontario,1671.700998,27330.39159,10.94025741,29013.03285,14501
Rainy River DSB,1674.059942,23397.66958,3958.515121,29030.24464,14501
CSP du Nord-Est de l'Ontario,1956.073603,27822.93957,90.90302722,29869.9162,14501
CSD cath. des Aurores boréales,1552.237619,31804.99172,0,33357.22933,14501
Superior North Catholic DSB,2936.598718,33083.6907,3427.482705,39447.77212,14501
Superior-Greenstone DSB,5825.514033,31679.63555,4374.609638,41879.75922,14501