Board,English Public,English Catholic,French Public,French Catholic,Average
Durham DSB,523.00,  ,  ,  ,652.00
Halton DSB,530.00,  ,  ,  ,652.00
Peel DSB,539.00,  ,  ,  ,652.00
York Region DSB,541.00,  ,  ,  ,652.00
Halton Catholic DSB,  ,546.00,  ,  ,652.00
Waterloo Region DSB,546.00,  ,  ,  ,652.00
Dufferin-Peel Catholic DSB,  ,555.00,  ,  ,652.00
Ottawa-Carleton DSB,567.00,  ,  ,  ,652.00
York Catholic DSB,  ,577.00,  ,  ,652.00
Hamilton-Wentworth DSB,593.00,  ,  ,  ,652.00
Upper Grand DSB,594.00,  ,  ,  ,652.00
Simcoe County DSB,597.00,  ,  ,  ,652.00
Thames Valley DSB,597.00,  ,  ,  ,652.00
Greater Essex County DSB,602.00,  ,  ,  ,652.00
Ottawa Catholic DSB,  ,609.00,  ,  ,652.00
Toronto DSB,615.00,  ,  ,  ,652.00
Toronto Catholic DSB,  ,622.00,  ,  ,652.00
Kawartha Pine Ridge DSB,630.00,  ,  ,  ,652.00
Hamilton-Wentworth Cath DSB,  ,631.00,  ,  ,652.00
London Dist. Catholic School,  ,647.00,  ,  ,652.00
Lambton Kent DSB,655.00,  ,  ,  ,652.00
DSB of Niagara,663.00,  ,  ,  ,652.00
Simcoe Muskoka Catholic DSB,  ,664.00,  ,  ,652.00
Windsor-Essex Catholic DSB,  ,674.00,  ,  ,652.00
Waterloo Catholic DSB,  ,680.00,  ,  ,652.00
Grand Erie DSB,692.00,  ,  ,  ,652.00
Bluewater DSB,696.00,  ,  ,  ,652.00
CSD cath. Centre-Est de l'Ont.,  ,  ,  ,699.00,652.00
PVNC Catholic DSB,  ,712.00,  ,  ,652.00
Brant Haldimand Norfolk CDSB,  ,722.00,  ,  ,652.00
Hastings & Prince Edward DSB,732.00,  ,  ,  ,652.00
Upper Canada DSB,734.00,  ,  ,  ,652.00
Trillium Lakelands DSB,748.00,  ,  ,  ,652.00
Durham Catholic DSB,  ,749.00,  ,  ,652.00
Niagara Catholic DSB,  ,751.00,  ,  ,652.00
Avon Maitland DSB,753.00,  ,  ,  ,652.00
St. Clair Catholic DSB,  ,778.00,  ,  ,652.00
Limestone DSB,816.00,  ,  ,  ,652.00
CEP de l'Est de l'Ontario,  ,  ,843.00,  ,652.00
Rainbow DSB,844.00,  ,  ,  ,652.00
CSC MonAvenir,  ,  ,  ,848.00,652.00
Renfrew County DSB,855.00,  ,  ,  ,652.00
CSD cath. de l'Est ontarien,  ,  ,  ,874.00,652.00
CSC Providence,  ,  ,  ,879.00,652.00
Lakehead DSB,890.00,  ,  ,  ,652.00
Wellington Catholic DSB,  ,903.00,  ,  ,652.00
Thunder Bay Catholic DSB,  ,905.00,  ,  ,652.00
Conseil scolaire Viamonde,  ,  ,908.00,  ,652.00
Algoma DSB,925.00,  ,  ,  ,652.00
Algonquin & Lakeshore Cath DSB,  ,939.00,  ,  ,652.00
Cath DSB of Eastern Ontario,  ,941.00,  ,  ,652.00
Bruce-Grey Catholic DSB,  ,972.00,  ,  ,652.00
Near North DSB,1007.00,  ,  ,  ,652.00
Sudbury Catholic DSB,  ,1025.00,  ,  ,652.00
DSB Ontario North East,1039.00,  ,  ,  ,652.00
Huron-Perth Catholic DSB,  ,1040.00,  ,  ,652.00
CSD cath. du Nouvel-Ontario,  ,  ,  ,1070.00,652.00
Renfrew County Catholic DSB,  ,1092.00,  ,  ,652.00
CSD cath. des Grandes Rivières,  ,  ,  ,1102.00,652.00
Huron-Superior Catholic DSB,  ,1249.00,  ,  ,652.00
Nipissing-Parry Sound Cath DSB,  ,1386.00,  ,  ,652.00
Keewatin-Patricia DSB,1440.00,  ,  ,  ,652.00
CSD catholique Franco-Nord,  ,  ,  ,1564.00,652.00
Northeastern Catholic DSB,  ,1600.00,  ,  ,652.00
CSP du Grand Nord de l'Ontario,  ,  ,1676.00,  ,652.00
Rainy River DSB,1904.00,  ,  ,  ,652.00
CSP du Nord-Est de l'Ontario,  ,  ,2030.00,  ,652.00
Kenora Catholic DSB,  ,2198.00,  ,  ,652.00
Northwest Catholic DSB,  ,2356.00,  ,  ,652.00
Superior-Greenstone DSB,2624.00,  ,  ,  ,652.00
CSD cath. des Aurores boréales,  ,  ,  ,3176.00,652.00
Superior North Catholic DSB,  ,4120.00,  ,  ,652.00
,,,,,